title,description,content,order,is_published,chapter_id,difficulty,estimated_minutes,is_free
Beginning,Good luck!,"<p><strong>Python</strong>&nbsp;(<small><a class=""mw-redirect"" title=""МФА"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D0%A4%D0%90"">МФА</a>:</small>&nbsp;<span class=""IPA""><a title=""Международный фонетический алфавит"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%84%D0%BE%D0%BD%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%BB%D1%84%D0%B0%D0%B2%D0%B8%D1%82"">[ˈpaɪ&theta;(ə)n]</a></span>; в русском языке встречаются названия&nbsp;<strong>пито́н</strong><sup id=""cite_ref-8"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-8""><span class=""cite-bracket"">[</span>8<span class=""cite-bracket"">]</span></a></sup>&nbsp;или&nbsp;<strong>па́йтон</strong><sup id=""cite_ref-9"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-9""><span class=""cite-bracket"">[</span>9<span class=""cite-bracket"">]</span></a></sup>)&nbsp;&mdash;&nbsp;<a title=""Мультипарадигменный язык программирования"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D0%BF%D0%B0%D1%80%D0%B0%D0%B4%D0%B8%D0%B3%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F"">мультипарадигменный</a><sup id=""cite_ref-:21_10-0"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:21-10""><span class=""cite-bracket"">[</span>10<span class=""cite-bracket"">]</span></a></sup>&nbsp;<a title=""Высокоуровневый язык программирования"" href=""https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D1%83%D1%80%D0%BE%D0%B2%D0%BD%D0%B5%D0%B2%D1%8B%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F"">высокоуровневый язык программирования</a>&nbsp;общего назначения с&nbsp;<a title=""Динамическая типизация"" href=""https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D1%82%D0%B8%D0%BF%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F"">динамической</a>&nbsp;<a class=""mw-redirect"" title=""Строгая типизация"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%BE%D0%B3%D0%B0%D1%8F_%D1%82%D0%B8%D0%BF%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F"">строгой</a>&nbsp;типизацией и автоматическим управлением памятью<sup id=""cite_ref-11"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-11""><span class=""cite-bracket"">[</span>11<span class=""cite-bracket"">]</span></a></sup><sup id=""cite_ref-12"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-12""><span class=""cite-bracket"">[</span>12<span class=""cite-bracket"">]</span></a></sup>, ориентированный на повышение производительности разработчика, читаемости&nbsp;<a title=""Исходный код"" href=""https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%85%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%B4"">кода</a>&nbsp;и его качества, а также на обеспечение переносимости написанных на нём программ<sup id=""cite_ref-:1_13-0"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:1-13""><span class=""cite-bracket"">[</span>13<span class=""cite-bracket"">]</span></a></sup>. Язык является полностью&nbsp;<a title=""Объектно-ориентированный язык программирования"" href=""https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BD%D0%BE-%D0%BE%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F"">объектно-ориентированным</a>&nbsp;в том плане, что всё является&nbsp;<a title=""Объект (программирование)"" href=""https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%BA%D1%82_(%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5)"">объектами</a><sup id=""cite_ref-14"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-14""><span class=""cite-bracket"">[</span>14<span class=""cite-bracket"">]</span></a></sup>. Необычной особенностью языка является выделение&nbsp;<a class=""mw-redirect"" title=""Блок кода"" href=""https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%BE%D0%BA_%D0%BA%D0%BE%D0%B4%D0%B0"">блоков кода</a>&nbsp;отступами<sup id=""cite_ref-15"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-15""><span class=""cite-bracket"">[</span>15<span class=""cite-bracket"">]</span></a></sup>.&nbsp;<a title=""Синтаксис (программирование)"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D1%82%D0%B0%D0%BA%D1%81%D0%B8%D1%81_(%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5)"">Синтаксис</a>&nbsp;ядра языка минималистичен, за счёт чего на практике редко возникает необходимость обращаться к документации<sup id=""cite_ref-:1_13-1"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:1-13""><span class=""cite-bracket"">[</span>13<span class=""cite-bracket"">]</span></a></sup>. Поскольку Python&nbsp;является&nbsp;<a title=""Интерпретируемый язык программирования"" href=""https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%82%D0%B5%D1%80%D0%BF%D1%80%D0%B5%D1%82%D0%B8%D1%80%D1%83%D0%B5%D0%BC%D1%8B%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F"">интерпретируемым</a>&nbsp;языком, он также является и&nbsp;<a class=""mw-redirect"" title=""Скрипт"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D1%80%D0%B8%D0%BF%D1%82"">скриптовым</a><sup id=""cite_ref-16"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-16""><span class=""cite-bracket"">[</span>16<span class=""cite-bracket"">]</span></a></sup>. Недостатками языка являются зачастую более низкая скорость работы и более высокое потребление памяти написанными на нём программами по сравнению с аналогичным кодом, написанным на&nbsp;<a title=""Компилируемый язык программирования"" href=""https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B8%D0%BB%D0%B8%D1%80%D1%83%D0%B5%D0%BC%D1%8B%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F"">компилируемых языках</a>, таких как&nbsp;<a title=""Си (язык программирования)"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D0%B8_(%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F)"">C</a>&nbsp;или&nbsp;<a title=""C++"" href=""https://ru.wikipedia.org/wiki/C%2B%2B"">C++</a><sup id=""cite_ref-17"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-17""><span class=""cite-bracket"">[</span>17<span class=""cite-bracket"">]</span></a></sup><sup id=""cite_ref-:1_13-2"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:1-13""><span class=""cite-bracket"">[</span>13<span class=""cite-bracket"">]</span></a></sup>.</p>
<p>Python является&nbsp;<a title=""Мультипарадигменный язык программирования"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D0%BF%D0%B0%D1%80%D0%B0%D0%B4%D0%B8%D0%B3%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F"">мультипарадигменным языком программирования</a>, поддерживающим&nbsp;<a title=""Императивное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">императивное</a>,&nbsp;<a title=""Процедурное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%86%D0%B5%D0%B4%D1%83%D1%80%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">процедурное</a><sup id=""cite_ref-:21_10-1"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:21-10""><span class=""cite-bracket"">[</span>10<span class=""cite-bracket"">]</span></a></sup>,&nbsp;<a title=""Структурное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">структурное</a><sup id=""cite_ref-18"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-18""><span class=""cite-bracket"">[</span>18<span class=""cite-bracket"">]</span></a></sup>,&nbsp;<a title=""Функциональное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%A4%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">функциональное</a><sup id=""cite_ref-:21_10-2"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:21-10""><span class=""cite-bracket"">[</span>10<span class=""cite-bracket"">]</span></a></sup>,&nbsp;<a title=""Асинхронное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%90%D1%81%D0%B8%D0%BD%D1%85%D1%80%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">асинхронное</a><sup id=""cite_ref-:23_3-1"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:23-3""><span class=""cite-bracket"">[</span>3<span class=""cite-bracket"">]</span></a></sup>,&nbsp;<a title=""Объектно-ориентированное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BD%D0%BE-%D0%BE%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">объектно-ориентированное</a><sup id=""cite_ref-:21_10-3"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:21-10""><span class=""cite-bracket"">[</span>10<span class=""cite-bracket"">]</span></a></sup>&nbsp;программирование и&nbsp;<a title=""Метапрограммирование"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%82%D0%B0%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">метапрограммирование</a><sup id=""cite_ref-:12_2-1"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:12-2""><span class=""cite-bracket"">[</span>2<span class=""cite-bracket"">]</span></a></sup>. Задачи&nbsp;<a title=""Обобщённое программирование"" href=""https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BE%D0%B1%D1%89%D1%91%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">обобщённого программирования</a>&nbsp;решаются за счёт динамической типизации<sup id=""cite_ref-:8_19-0"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:8-19""><span class=""cite-bracket"">[</span>19<span class=""cite-bracket"">]</span></a></sup><sup id=""cite_ref-:9_20-0"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:9-20""><span class=""cite-bracket"">[</span>20<span class=""cite-bracket"">]</span></a></sup>.&nbsp;<a title=""Аспектно-ориентированное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%90%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%BD%D0%BE-%D0%BE%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">Аспектно-ориентированное программирование</a>&nbsp;частично поддерживается через&nbsp;<a title=""Декоратор (шаблон проектирования)"" href=""https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BA%D0%BE%D1%80%D0%B0%D1%82%D0%BE%D1%80_(%D1%88%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD_%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F)"">декораторы</a><sup id=""cite_ref-:13_21-0"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:13-21""><span class=""cite-bracket"">[</span>21<span class=""cite-bracket"">]</span></a></sup>, более полноценная поддержка обеспечивается дополнительными&nbsp;<a title=""Фреймворк"" href=""https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B5%D0%B9%D0%BC%D0%B2%D0%BE%D1%80%D0%BA"">фреймворками</a><sup id=""cite_ref-22"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-22""><span class=""cite-bracket"">[</span>22<span class=""cite-bracket"">]</span></a></sup>. Такие методики как&nbsp;<a title=""Контрактное программирование"" href=""https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%82%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">контрактное</a>&nbsp;и&nbsp;<a title=""Логическое программирование"" href=""https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5"">логическое программирование</a>&nbsp;можно реализовать с помощью библиотек или расширений<sup id=""cite_ref-23"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-23""><span class=""cite-bracket"">[</span>23<span class=""cite-bracket"">]</span></a></sup>. Основные архитектурные черты&nbsp;&mdash;&nbsp;<a title=""Динамическая типизация"" href=""https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D1%82%D0%B8%D0%BF%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F"">динамическая типизация</a>,&nbsp;<a class=""mw-redirect"" title=""Сборка мусора (программирование)"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D0%B1%D0%BE%D1%80%D0%BA%D0%B0_%D0%BC%D1%83%D1%81%D0%BE%D1%80%D0%B0_(%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5)"">автоматическое управление памятью</a><sup id=""cite_ref-:2_1-2"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-:2-1""><span class=""cite-bracket"">[</span>1<span class=""cite-bracket"">]</span></a></sup>,&nbsp;<a class=""mw-redirect"" title=""Интроспекция в Python"" href=""https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%82%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%86%D0%B8%D1%8F_%D0%B2_Python"">полная интроспекция</a>, механизм&nbsp;<a title=""Обработка исключений"" href=""https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B0_%D0%B8%D1%81%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B9"">обработки исключений</a>, поддержка&nbsp;<a title=""Многопоточность"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D0%BD%D0%BE%D0%B3%D0%BE%D0%BF%D0%BE%D1%82%D0%BE%D1%87%D0%BD%D0%BE%D1%81%D1%82%D1%8C"">многопоточных вычислений</a>&nbsp;с глобальной блокировкой интерпретатора (<a class=""mw-redirect"" title=""Global Interpreter Lock"" href=""https://ru.wikipedia.org/wiki/Global_Interpreter_Lock"">GIL</a>)<sup id=""cite_ref-24"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-24""><span class=""cite-bracket"">[</span>24<span class=""cite-bracket"">]</span></a></sup>, высокоуровневые&nbsp;<a title=""Структура данных"" href=""https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%B0_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85"">структуры данных</a>. Поддерживается разбиение программ на&nbsp;<a class=""mw-redirect"" title=""Модуль (программирование)"" href=""https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B4%D1%83%D0%BB%D1%8C_(%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5)"">модули</a>, которые, в свою очередь, могут объединяться в пакеты<sup id=""cite_ref-25"" class=""reference""><a href=""https://ru.wikipedia.org/wiki/Python#cite_note-25""><span class=""cite-bracket"">[</span>25<span class=""cite-bracket"">]</span></a></sup>.</p>","0","1","1",Easy,"10","1"
Variables & maths,Essential items,"<p>Python code:</p>
<pre class=""language-python""><code>print('Hello, PyLab!')</code></pre>","1","1","1",Easy,"10","1"
Conditional operator,if it == easy: break,<p>Content</p>,"2","1","1",Easy,"10","1"
Loops,while it != 'easy': study(),<p>Content</p>,"4","1","1",Medium,"5","1"
Keywords,Description,<p>Content</p>,"5","1","1",Easy,"5","1"
The End,Congratulations!,<p>Content</p>,"6","1","1",Easy,"5","1"
Creation,Description,<p>Content</p>,"1","1","2",Easy,"10","1"
Beginning,Good luck!,<p>Content</p>,"0","1","2",Easy,"5","1"
Arguments,Description,<p>Content</p>,"2","1","2",Hard,"15","1"
Return values,Description,<p>Content</p>,"3","1","2",Easy,"10","1"
